function,module,impl_block
lemma_mul_c_i_shift_bounded(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
lemma_u8_32_as_nat_zero(),curve25519-dalek::scalar_helpers,
lemma_completed_point_ratios(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_naf_digit_bounds(),curve25519-dalek::lemmas::scalar_lemmas_::naf_lemmas,
load8_at(),curve25519-dalek::backend::serial::u64::field,
AffineNielsPoint::identity(),curve25519-dalek::backend::serial::curve_models,
spec_sub_limbs(),curve25519-dalek::specs::field_specs,
product_of_scalars(),curve25519-dalek::specs::scalar_specs,
EdwardsPoint::multiscalar_mul_verus(),curve25519-dalek::edwards,
lemma_prefix_div_extracts_byte(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
lemma_u64x4_from_le_bytes(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
load8_at_plus_version_rec(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
Scalar52::mul(),curve25519-dalek::backend::serial::u64::scalar,
m(),curve25519-dalek::backend::serial::u64::scalar,
radix_16_digit_bounded(),curve25519-dalek::specs::scalar_specs,
prop_from_bytes(),curve25519-dalek::backend::serial::u64::scalar::test,
lemma_load8_at_limb4(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
spec_points_from_iter(),curve25519-dalek::specs::iterator_specs,
lemma_montgomery_square_exponent_double(),curve25519-dalek::lemmas::montgomery_pow_chain_lemmas,
montgomery_radix(),curve25519-dalek::specs::scalar52_specs,
Scalar52::part1(),curve25519-dalek::backend::serial::u64::scalar,
identity_projective_point_edwards(),curve25519-dalek::specs::edwards_specs,
lemma_reconstruct_split(),curve25519-dalek::lemmas::scalar_lemmas_::naf_lemmas,
LookupTable::select(),curve25519-dalek::window,
scalar52_to_nat(),curve25519-dalek::specs::scalar52_specs,
lemma_unique_x_with_parity(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_square_multiply_exponent_compose(),curve25519-dalek::lemmas::montgomery_pow_chain_lemmas,
EdwardsBasepointTable::mul_base(),curve25519-dalek::edwards,
lemma_inv_mul_cancel(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_limb1_contribution_correctness_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
lemma_product_of_complements(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
is_a_scalar(),curve25519-dalek::scalar,
u64_5_as_nat(),curve25519-dalek::specs::field_specs_u64,
lemma_q_biconditional(),curve25519-dalek::lemmas::field_lemmas::compute_q_lemmas,
c3_0_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
LookupTable::default(),curve25519-dalek::window,
lemma_part2_chain_quotient(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_part2_chain_lemmas,
fe51_is_sqrt_ratio_times_i(),curve25519-dalek::specs::field_specs,
is_valid_naf_lookup_table8_affine(),curve25519-dalek::specs::window_specs,
Mul::mul(),curve25519-dalek::backend::serial::u64::field,
negate_field(),curve25519-dalek::core_assumes,
lemma_edwards_double_of_add(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
RistrettoPoint::sum(),curve25519-dalek::ristretto,
lemma_bytes32_to_radix16_nibbles(),curve25519-dalek::lemmas::scalar_lemmas_::radix16_lemmas,
reduce_with_q_spec(),curve25519-dalek::specs::field_specs_u64,
ci_0_val_boundaries(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_zero_is_sqrt_ratio(),curve25519-dalek::lemmas::field_lemmas::sqrt_ratio_lemmas,
EdwardsPoint::double(),curve25519-dalek::edwards,
Neg::neg(),curve25519-dalek::edwards,
CompressedEdwardsY::zeroize(),curve25519-dalek::edwards,
is_uniform_scalar(),curve25519-dalek::specs::proba_specs,
FieldElement51::as_bytes(),curve25519-dalek::FieldElement51#FieldElement51<[u8;::backend::serial::u64::field,
lemma_group_order_smaller_than_pow256(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_factorial_positive(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
Mul::mul(),curve25519-dalek::edwards,
lemma_word_contribution_decomposition(),curve25519-dalek::lemmas::scalar_lemmas_extra,
lemma_mod_diff_factor(),curve25519-dalek::lemmas::common_lemmas::div_mod_lemmas,
lemma_prove_pow2k_step(),curve25519-dalek::lemmas::field_lemmas::pow_chain_lemmas,
lemma_radix_2w_digit_bounds(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
limbs_bounded_for_sub(),curve25519-dalek::specs::scalar52_specs,
lemma_nine_limbs_equals_slice128_to_nat(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_u64x4_cross_word_extraction(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
lemma_r4_bound_from_canonical(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
u8_32_as_group_canonical(),curve25519-dalek::specs::scalar_specs,
lemma_l_equals_group_order(),curve25519-dalek::lemmas::scalar_lemmas,
math_edwards_identity(),curve25519-dalek::specs::edwards_specs,
limb2_byte_contribution(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
Scalar::fmt(),curve25519-dalek::scalar,
z_nonzero(),curve25519-dalek::specs::edwards_specs::eight_torsion_tests,
lemma_p_gt_small(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
u32_to_le_bytes(),curve25519-dalek::core_assumes,
axiom_hash_is_canonical(),curve25519-dalek::core_assumes,
lemma_pp_minus_mm(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
LookupTable::zeroize(),curve25519-dalek::window,
lemma_square_mod_noop(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
Scalar52::from_bytes_wide(),curve25519-dalek::Scalar52<&[u8;::backend::serial::u64::scalar,
spec_projective_point_edwards(),curve25519-dalek::specs::edwards_specs,
montgomery_add(),curve25519-dalek::specs::montgomery_specs,
lemma_part2_carry_cancellation(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_part2_chain_lemmas,
lemma_square_matches_field_square(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
EdwardsPoint::fmt(),curve25519-dalek::edwards,
lemma_naf_window_no_overflow(),curve25519-dalek::lemmas::scalar_lemmas_::naf_lemmas,
Scalar52::montgomery_mul(),curve25519-dalek::backend::serial::u64::scalar,
spec_identity_affine_niels(),curve25519-dalek::specs::edwards_specs,
lemma_identity_array_satisfies_input_bounds(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
Add::add(),curve25519-dalek::edwards,
Mul::mul(),curve25519-dalek::edwards,
seq_from16(),curve25519-dalek::core_assumes,
lemma_reverse_distribute_sub(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_field_add_sub_recover_double(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_cast_then_mask_51(),curve25519-dalek::lemmas::field_lemmas::pow2_51_lemmas,
lemma_pow_nat_is_nat(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
field_neg(),curve25519-dalek::specs::field_specs,
is_valid_montgomery_affine(),curve25519-dalek::specs::montgomery_specs,
lemma_field_mul_assoc(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
is_valid_lookup_table_projective(),curve25519-dalek::specs::window_specs,
lemma_chain_exp_is_l_minus_2(),curve25519-dalek::lemmas::montgomery_pow_chain_lemmas,
lemma_a_times_inv_ab_is_inv_b(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
fe51_as_nat(),curve25519-dalek::specs::field_specs,
vec_to_optional_edwards_iter(),curve25519-dalek::specs::iterator_specs,
axiom_edwards_add_associative(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
limb1_byte_contribution(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
is_identity_edwards_point(),curve25519-dalek::specs::edwards_specs,
EdwardsPoint::mul_by_pow_2(),curve25519-dalek::edwards,
axiom_gcd_pow2_odd(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_load8_at_plus_version_is_spec_aux(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
lemma_group_order_bound(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_fermat_cancellation(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
u64_5_as_group_canonical(),curve25519-dalek::specs::scalar52_specs,
lemma_field_sub_self(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
Scalar::batch_invert(),curve25519-dalek::scalar,
canonical_sqrt(),curve25519-dalek::specs::montgomery_specs,
compute_q_spec(),curve25519-dalek::specs::field_specs_u64,
lemma_field_add_sub_cancel(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
CompressedRistretto::ct_eq(),curve25519-dalek::ristretto,
lemma_decomposition_prefix_rec(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
mul(),curve25519-dalek::backend::serial::scalar_mul::variable_base,
RistrettoPoint::lizard_decode(),"curve25519-dalek::=::Digest<OutputSize::+::Digest::D:::::::::16]>
where
::&RistrettoPoint#RistrettoPoint<Option<[u8;::lizard::lizard_ristretto",
lemma_pow2_div_mod(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
FieldElement51::batch_invert(),curve25519-dalek::field,
lemma_u8_32_as_nat_equals_rec(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
spec_reduce(),curve25519-dalek::specs::field_specs_u64,
Add::add(),curve25519-dalek::backend::serial::u64::field,
axiom_montgomery_a_neg_is_neg_a(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
sum_of_points(),curve25519-dalek::specs::edwards_specs,
lemma_part1_correctness(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
lemma_double_negation(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
Sub::sub(),curve25519-dalek::edwards,
lemma_rr_equals_spec(),curve25519-dalek::lemmas::scalar_lemmas,
ProjectivePoint::fmt(),curve25519-dalek::backend::serial::curve_models,
axiom_edwards_scalar_mul_signed_additive(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
even_sum_up_to(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
RistrettoPoint::xcoset4(),curve25519-dalek::&RistrettoPoint#RistrettoPoint<[EdwardsPoint;::lizard::lizard_ristretto,
lemma_as_bytes_boundaries1(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
axiom_montgomery_add_associative(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
lemma_field_curve_eq_x2v_eq_u(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_as_bytes_boundaries2(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
sqrt_ratio_i_math_post(),curve25519-dalek::specs::field_specs,
Mul::mul(),curve25519-dalek::montgomery,
Scalar::from_hash(),curve25519-dalek::scalar,
Mul::mul(),curve25519-dalek::scalar,
FieldElement51::pow_p58(),curve25519-dalek::field,
u128_from_le_bytes(),curve25519-dalek::core_assumes,
Scalar::non_adjacent_form(),curve25519-dalek::&Scalar#Scalar<[i8;::scalar,
bytes_match_limbs_packing(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
naf_lookup_table5_projective_limbs_bounded(),curve25519-dalek::specs::window_specs,
axiom_eight_torsion_well_formed(),curve25519-dalek::specs::edwards_specs,
lemma_decompress_spec_matches_point(),curve25519-dalek::lemmas::edwards_lemmas::decompress_lemmas,
Scalar::from(),curve25519-dalek::scalar,
u64_from_le_bytes(),curve25519-dalek::core_assumes,
lemma_bits_be_as_nat_eq_bits_from_index(),curve25519-dalek::lemmas::common_lemmas::bits_as_nat_lemmas,
lemma_edwards_scalar_mul_succ(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
spec_ristretto_compress(),curve25519-dalek::specs::ristretto_specs,
NafLookupTable8::from(),curve25519-dalek::window,
Add::add(),curve25519-dalek::ristretto,
lemma_u64_5_as_nat_add(),curve25519-dalek::lemmas::field_lemmas::u64_5_as_nat_lemmas,
test_2_times_486661_not_qr(),curve25519-dalek::lemmas::montgomery_curve_lemmas::test_qr_axioms,
lemma_radix51_telescoping_expansion(),curve25519-dalek::lemmas::field_lemmas::compute_q_lemmas,
spec_xdbl_projective(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
NafLookupTable5::select(),curve25519-dalek::window,
lemma_montgomery_scalar_mul_one(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
ProjectivePoint::identity(),curve25519-dalek::montgomery,
lemma_field_mul_comm(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_partial_product_prefix_eq(),curve25519-dalek::lemmas::scalar_batch_invert_lemmas,
spec_clamp_integer(),curve25519-dalek::specs::scalar_specs,
is_valid_completed_point(),curve25519-dalek::specs::edwards_specs,
RistrettoPoint::add_assign(),curve25519-dalek::ristretto,
main(),curve25519-dalek::lemmas::field_lemmas::u64_5_as_nat_lemmas,
edwards_y_from_montgomery_u(),curve25519-dalek::specs::montgomery_specs,
top_half(),curve25519-dalek::scalar,
lemma_square_multiply_step(),curve25519-dalek::lemmas::scalar_lemmas,
field_inv_property(),curve25519-dalek::specs::field_specs,
axiom_uniform_point_add(),curve25519-dalek::specs::proba_specs,
Scalar::ct_eq(),curve25519-dalek::scalar,
m(),curve25519-dalek::backend::serial::u64::field,
Scalar::eq(),curve25519-dalek::scalar,
lemma_from_u8_32_as_nat(),curve25519-dalek::lemmas::field_lemmas::from_bytes_lemmas,
Scalar::as_radix_2w(),curve25519-dalek::&Scalar#Scalar<[i8;::scalar,
lemma_chunk_extraction_commutes_with_mod(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
axiom_group_order_is_prime(),curve25519-dalek::specs::primality_specs,
EdwardsPoint::as_affine_niels(),curve25519-dalek::edwards,
BasepointTable::mul_base_clamped(),curve25519-dalek::&Self#BasepointTable<[u8;::traits,
MontgomeryPoint::as_bytes(),curve25519-dalek::&MontgomeryPoint#MontgomeryPoint<[u8;::montgomery,
lemma_reassociate_2_z_num(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_invert_exponent_arithmetic(),curve25519-dalek::lemmas::field_lemmas::invert_lemmas,
lemma_field_curve_point_implies_valid_y(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_montgomery_scalar_mul_double(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
lemma_edwards_add_identity_left(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
FieldElement51::add_assign(),curve25519-dalek::backend::serial::u64::field,
is_independent_uniform_bytes32(),curve25519-dalek::specs::proba_specs,
Scalar52::sub_new(),curve25519-dalek::backend::serial::u64::scalar,
a1_0_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_bytes_as_nat_prefix_bounded(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
EdwardsBasepointTable::create(),curve25519-dalek::edwards,
CompressedEdwardsY::identity(),curve25519-dalek::edwards,
Scalar::product(),curve25519-dalek::scalar,
test_eight_torsion_well_formed(),curve25519-dalek::specs::edwards_specs::eight_torsion_tests,
lemma_montgomery_mul_partial_product(),curve25519-dalek::lemmas::scalar_batch_invert_lemmas,
lemma_fermat_strong(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
axiom_add_neg_is_identity(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
a0_2_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
mul_c2_0_val(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
lemma_div_bound(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
lemma_valid_extended_point_affine_on_curve(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_pp_plus_mm(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
Straus::multiscalar_mul_verus(),curve25519-dalek::backend::serial::scalar_mul::straus,
lemma_mul_internal_limbs_bounds(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
Scalar52::mul_internal(),curve25519-dalek::Scalar52<[u128;::backend::serial::u64::scalar,
a4_0_val(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_field51_add(),curve25519-dalek::lemmas::field_lemmas::add_lemmas,
lemma_pow2_mul_div_mod_small_div(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
pow2_mul_div_mod_small_div_u8_t51_cond(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
axiom_ed25519_basepoint_table_valid(),curve25519-dalek::specs::edwards_specs,
partial_product(),curve25519-dalek::lemmas::scalar_batch_invert_lemmas,
axiom_scalar_mul_distributes_over_neg(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
MontgomeryPoint::mul_bits_be(),curve25519-dalek::montgomery,
Scalar::is_canonical(),curve25519-dalek::scalar,
lemma_montgomery_reduced_sum_congruent(),curve25519-dalek::lemmas::scalar_lemmas_extra,
lemma_negate_affine_niels_is_edwards_neg(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
EdwardsPoint::is_small_order(),curve25519-dalek::edwards,
lemma_naf_width_properties(),curve25519-dalek::lemmas::scalar_lemmas_::naf_lemmas,
MontgomeryPoint::mul_assign(),curve25519-dalek::montgomery,
RistrettoPoint::identity(),curve25519-dalek::ristretto,
lemma_u64x4_single_word_decompose_generic(),curve25519-dalek::lemmas::scalar_lemmas_::radix_2w_lemmas,
ProjectiveNielsPoint::conditional_assign(),curve25519-dalek::backend::serial::curve_models,
lemma_gcd_divides_both(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
spec_load8_at(),curve25519-dalek::specs::core_specs,
is_square_of(),curve25519-dalek::specs::field_specs,
lemma_pow2_geometric(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
Pippenger::optional_multiscalar_mul(),curve25519-dalek::backend::serial::scalar_mul::pippenger,
RistrettoPoint::sub_assign(),curve25519-dalek::ristretto,
lemma_assemble_mod_div(),curve25519-dalek::lemmas::field_lemmas::from_bytes_lemmas,
lemma_u8_32_as_nat_one(),curve25519-dalek::scalar_helpers,
is_canonical_scalar(),curve25519-dalek::specs::scalar_specs,
lemma_edwards_scalar_mul_signed_composition(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
Scalar::reduce(),curve25519-dalek::scalar,
is_valid_u_coordinate(),curve25519-dalek::specs::montgomery_specs,
lemma_reverse_distribute_add(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_pow_p58_prove(),curve25519-dalek::lemmas::field_lemmas::pow_p58_lemma,
lemma_cast_then_mod_51(),curve25519-dalek::lemmas::field_lemmas::pow2_51_lemmas,
u8_32_as_nat_rec(),curve25519-dalek::specs::core_specs,
lemma_u8_32_as_nat_with_trailing_zeros(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
is_prime(),curve25519-dalek::specs::primality_specs,
lemma_square_root_of_neg_one(),curve25519-dalek::lemmas::field_lemmas::sqrt_m1_lemmas,
lemma_field_halve_double(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_divides_linear_combo(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_add_carry_and_sum_bounds(),curve25519-dalek::lemmas::scalar_lemmas,
spec_fe51_from_bytes(),curve25519-dalek::specs::field_specs,
lemma_montgomery_a_value(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
lemma_mul_internal_correct(),curve25519-dalek::lemmas::scalar_lemmas,
spec_xadd_projective(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
lemma_inv_of_inv(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
test_edwards_optional_dispatcher_original_vs_verus(),curve25519-dalek::backend::serial::scalar_mul::scalar_mul_tests,
VartimeMultiscalarMul::vartime_multiscalar_mul(),curve25519-dalek::traits,
Mul::mul(),curve25519-dalek::ristretto,
is_inverse_field(),curve25519-dalek::specs::field_specs,
EdwardsPoint::is_torsion_free(),curve25519-dalek::edwards,
lemma_r_bounded(),curve25519-dalek::lemmas::scalar_lemmas,
spec_ristretto_basepoint(),curve25519-dalek::specs::ristretto_specs,
CompressedRistretto::identity(),curve25519-dalek::ristretto,
EdwardsPoint::mul_base(),curve25519-dalek::edwards,
EdwardsBasepointTable::fmt(),curve25519-dalek::edwards,
EdwardsPoint::optional_multiscalar_mul(),curve25519-dalek::edwards,
is_negative(),curve25519-dalek::specs::field_specs,
LookupTable::from(),curve25519-dalek::window,
lemma_div_of_sum(),curve25519-dalek::lemmas::common_lemmas::div_mod_lemmas,
projective_represents_montgomery_or_infinity(),curve25519-dalek::specs::montgomery_specs,
ProjectivePoint::identity(),curve25519-dalek::backend::serial::curve_models,
lemma_masked_lt_51(),curve25519-dalek::lemmas::field_lemmas::pow2_51_lemmas,
lemma_pow2_even(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
axiom_from_bytes_independent(),curve25519-dalek::specs::proba_specs,
lemma_binary_sum_div_decomposition(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
LookupTable::select(),curve25519-dalek::window,
reconstruct_radix_16(),curve25519-dalek::specs::scalar_specs,
axiom_edwards_d2_is_2d(),curve25519-dalek::lemmas::edwards_lemmas::constants_lemmas,
spec_completed_to_projective(),curve25519-dalek::specs::edwards_specs,
lemma_single_stage_division(),curve25519-dalek::lemmas::field_lemmas::compute_q_lemmas,
test_wrapping_mul_mask_equals_mod(),curve25519-dalek::backend::serial::u64::scalar::test,
lemma_group_order_is_odd(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_edwards_double_identity(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
field_mul(),curve25519-dalek::specs::field_specs,
lemma_recover_xy_from_niels_encoding(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
ct_option_value(),curve25519-dalek::backend::serial::u64::subtle_assumes,
test_nonsquare_branch_identity(),curve25519-dalek::lemmas::montgomery_curve_lemmas::test_qr_axioms,
lemma_limb3_contribution_correctness(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
conditional_select_u64(),curve25519-dalek::backend::serial::u64::subtle_assumes,
limbs52_to_nat(),curve25519-dalek::specs::scalar52_specs,
Add::add(),curve25519-dalek::scalar,
lemma_u_coordinate_scalar_mul_canonical_lift_zero(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
Scalar::as_bytes(),curve25519-dalek::&Scalar#Scalar<[u8;::scalar,
step_1(),curve25519-dalek::ristretto::decompress,
edwards_point_limbs_bounded(),curve25519-dalek::specs::edwards_specs,
RistrettoPoint::from_uniform_bytes_single_elligator(),curve25519-dalek::RistrettoPoint<&[u8;::lizard::lizard_ristretto,
product_of_field_elems(),curve25519-dalek::specs::field_specs,
pippenger_optional_multiscalar_mul_verus(),curve25519-dalek::backend,
spec_projective_u_coordinate(),curve25519-dalek::specs::montgomery_specs,
lemma_u64_div_and_mod_51(),curve25519-dalek::lemmas::field_lemmas::pow2_51_lemmas,
AffineNielsPoint::fmt(),curve25519-dalek::backend::serial::curve_models,
lemma_bytes_suffix_matches_word_partial(),curve25519-dalek::lemmas::scalar_lemmas_extra,
lemma_carry_propagation_is_division(),curve25519-dalek::lemmas::field_lemmas::compute_q_lemmas,
Neg::neg(),curve25519-dalek::scalar,
test_edwards_multiscalar_dispatcher_original_vs_verus(),curve25519-dalek::backend::serial::scalar_mul::scalar_mul_tests,
lemma_pow2_mul_div_mod_small_mod(),curve25519-dalek::lemmas::common_lemmas::pow_lemmas,
lemma_sqrt_ratio_failure_means_invalid_y(),curve25519-dalek::lemmas::edwards_lemmas::step1_lemmas,
lemma_mul_internal_no_overflow(),curve25519-dalek::lemmas::scalar_lemmas,
lemma_four_doublings_is_mul_16(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_square_root_of_unity(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
montgomery_affine_u(),curve25519-dalek::specs::montgomery_specs,
limb0_byte_contribution(),curve25519-dalek::lemmas::field_lemmas::limbs_to_bytes_lemmas,
u64_5_as_nat_generic_radix(),curve25519-dalek::specs::core_specs,
lemma_bytes_to_word_equivalence(),curve25519-dalek::lemmas::scalar_byte_lemmas::bytes_to_scalar_lemmas,
lemma_radix16_odd_scalar_step(),curve25519-dalek::lemmas::edwards_lemmas::mul_base_lemmas,
word64_from_bytes(),curve25519-dalek::specs::core_specs,
lemma_term_product_bounds(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
Scalar52::square_internal(),curve25519-dalek::Scalar52<[u128;::backend::serial::u64::scalar,
lemma_invert_zero_case(),curve25519-dalek::lemmas::field_lemmas::invert_lemmas,
lemma_mul_sub(),curve25519-dalek::lemmas::field_lemmas::pow2_51_lemmas,
projective_represents_montgomery(),curve25519-dalek::specs::montgomery_specs,
byte_bits_value(),curve25519-dalek::specs::core_specs,
lemma_seq_u64_to_nat_subrange_extend(),curve25519-dalek::lemmas::scalar_lemmas,
Scalar::to_radix_2w_size_hint(),curve25519-dalek::scalar,
sqrt_ratio_i_bounded_post(),curve25519-dalek::specs::field_specs,
FieldElement51::invert(),curve25519-dalek::field,
FieldElement51::sqrt_ratio_i(),"curve25519-dalek::FieldElement51<(Choice,::field",
lemma_one_limbs_bounded_51(),curve25519-dalek::lemmas::field_lemmas::constants_lemmas,
CompressedEdwardsY::from_slice(),curve25519-dalek::edwards,
is_uniform_over_elligator_image(),curve25519-dalek::specs::proba_specs,
lemma_mul_factors_congruent_implies_products_congruent(),curve25519-dalek::lemmas::scalar_lemmas,
projective_niels_corresponds_to_edwards(),curve25519-dalek::specs::edwards_specs,
CompletedPoint::as_extended(),curve25519-dalek::backend::serial::curve_models,
pow2k_loop_boundary_spec(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_partial_product_nonzeros_is_nonzero(),curve25519-dalek::lemmas::field_lemmas::batch_invert_lemmas,
lemma_identity_array_satisfies_canonical_bound(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
lemma_q_times_i_eq_y(),curve25519-dalek::lemmas::field_lemmas::sqrt_m1_lemmas,
axiom_minus_one_field_element_value(),curve25519-dalek::lemmas::field_lemmas::constants_lemmas,
lemma_c_i_shift_bounded(),curve25519-dalek::lemmas::field_lemmas::pow2k_lemmas,
lemma_montgomery_scalar_mul_succ(),curve25519-dalek::lemmas::montgomery_curve_lemmas,
lemma_negation_preserves_curve(),curve25519-dalek::lemmas::edwards_lemmas::curve_equation_lemmas,
lemma_horner_to_prefix_step(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
lemma_product_of_squares_eq_square_of_product(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_load8_plus_ver_div_mod(),curve25519-dalek::lemmas::field_lemmas::load8_lemmas,
lemma_mod_sum_both_divisible(),curve25519-dalek::lemmas::common_lemmas::div_mod_lemmas,
lemma_mod_is_zero_when_divisible(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_bytes_as_nat_prefix_chunk(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
FieldElement51::conditional_assign(),curve25519-dalek::backend::serial::u64::field,
collect_optional_points_from_iter(),curve25519-dalek::specs::iterator_specs,
EdwardsPoint::as_projective(),curve25519-dalek::edwards,
AffineNielsPoint::conditional_assign(),curve25519-dalek::backend::serial::curve_models,
