function,module,impl_block
lemma_byte_bits_value_is_mod(),curve25519-dalek::lemmas::common_lemmas::bits_as_nat_lemmas,
bytes_match_limbs_packing_52(),curve25519-dalek::lemmas::scalar_byte_lemmas::scalar_to_bytes_lemmas,
lemma_neg_u_times_inv_iu_is_i(),curve25519-dalek::lemmas::field_lemmas::sqrt_m1_lemmas,
mul_c1_0_val(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
lemma_multiples_distinct_mod_prime(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_neg_a_times_inv_ab(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
FieldElement51::negate(),curve25519-dalek::&mut::backend::serial::u64::field,
lemma_sub_symmetric_bound(),curve25519-dalek::lemmas::common_lemmas::sum_lemmas,
lemma_foil_sum_reorder(),curve25519-dalek::lemmas::field_lemmas::field_algebra_lemmas,
lemma_mul_w0_and_reorder(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
EdwardsPoint::vartime_double_scalar_mul_basepoint(),curve25519-dalek::edwards,
lemma_u64_5_as_nat_product(),curve25519-dalek::lemmas::field_lemmas::u64_5_as_nat_lemmas,
u8_32_from_nat(),curve25519-dalek::specs::field_specs,
lemma_scalar52_lt_pow2_256_if_canonical(),curve25519-dalek::lemmas::scalar_lemmas,
Scalar52::invert(),curve25519-dalek::scalar,
EdwardsPoint::ct_eq(),curve25519-dalek::edwards,
lemma_binomial_absorption(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
lemma_sub_constants_equal_16p(),curve25519-dalek::lemmas::field_lemmas::to_bytes_reduction_lemmas,
lemma_u8_32_as_nat_first_byte_only(),curve25519-dalek::lemmas::common_lemmas::to_nat_lemmas,
is_square(),curve25519-dalek::specs::field_specs,
lemma_mul_boundary(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
lemma_assemble_pow_a_pow(),curve25519-dalek::lemmas::field_lemmas::from_bytes_lemmas,
is_inv_witness(),curve25519-dalek::specs::field_specs,
lemma_u128_truncate_and_mask(),curve25519-dalek::lemmas::scalar_lemmas_::montgomery_reduce_lemmas,
lemma_shr_51_le(),curve25519-dalek::lemmas::field_lemmas::pow2_51_lemmas,
Straus::multiscalar_mul(),curve25519-dalek::backend::serial::scalar_mul::straus,
VartimePrecomputedMultiscalarMul::vartime_mixed_multiscalar_mul(),curve25519-dalek::traits,
mul_return(),curve25519-dalek::lemmas::field_lemmas::mul_lemmas,
proof_reduce(),curve25519-dalek::lemmas::field_lemmas::reduce_lemmas,
product_of_multiples(),curve25519-dalek::lemmas::common_lemmas::number_theory_lemmas,
choice_or(),curve25519-dalek::backend::serial::u64::subtle_assumes,
lemma_general_bound(),curve25519-dalek::lemmas::scalar_lemmas,
spec_state_after_hash_montgomery(),curve25519-dalek::core_assumes,
Mul::mul(),curve25519-dalek::edwards,
lemma_mul_distributive_6_terms(),curve25519-dalek::lemmas::common_lemmas::mul_lemmas,
RistrettoPoint::double_and_compress_batch(),curve25519-dalek::ristretto,
RistrettoPoint::decode_253_bits(),"curve25519-dalek::32];::[[u8;::&RistrettoPoint#RistrettoPoint<(u8,::lizard::lizard_ristretto",
lemma_bits_chunks_eq_bytes_prefix(),curve25519-dalek::lemmas::common_lemmas::bits_as_nat_lemmas,
LookupTable::clone(),curve25519-dalek::window,
VartimeRistrettoPrecomputation::new(),curve25519-dalek::ristretto,
spec_ristretto_compress_extended(),curve25519-dalek::specs::ristretto_specs,
lemma_fe51_to_bytes_equal_implies_field_element_equal(),curve25519-dalek::lemmas::field_lemmas::as_bytes_lemmas,
