function,module,link,has_spec,has_proof
EdwardsPoint::mul_base_clamped,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2624,yes,yes
EdwardsPoint::mul_by_cofactor,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L3655,yes,yes
EdwardsPoint::mul_by_pow_2,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L3679,yes,yes
EdwardsPoint::mul_clamped,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2589,yes,yes
EdwardsPoint::multiscalar_mul_verus,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2913,yes,yes
EdwardsPoint::neg,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2468,yes,yes
EdwardsPoint::nonspec_map_to_curve_verus,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L1784,yes,yes
EdwardsPoint::optional_multiscalar_mul_verus,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2831,yes,yes
EdwardsPoint::sub_assign,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2210,yes,yes
EdwardsPoint::sum,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2322,yes,yes
EdwardsPoint::sum_of_slice,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2236,yes,yes
EdwardsPoint::to_montgomery,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L1479,yes,yes
EdwardsPoint::vartime_double_scalar_mul_basepoint,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L2787,yes,yes
EdwardsPoint::zeroize,curve25519_dalek::edwards,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/edwards.rs#L994,yes,yes
FieldElement51::add_assign,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L174,yes,yes
FieldElement51::as_bytes,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L1018,yes,yes
FieldElement51::conditional_assign,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L735,yes,yes
FieldElement51::conditional_select,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L673,yes,yes
FieldElement51::conditional_swap,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L692,yes,yes
FieldElement51::from_bytes,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L911,yes,yes
FieldElement51::from_limbs,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L776,yes,yes
FieldElement51::mul_assign,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L442,yes,yes
FieldElement51::negate,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L798,yes,yes
FieldElement51::pow2k,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L1142,yes,yes
FieldElement51::reduce,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L861,yes,yes
FieldElement51::square,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L1300,yes,yes
FieldElement51::square2,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L1323,yes,yes
FieldElement51::sub_assign,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L290,yes,yes
FieldElement51::zeroize,curve25519_dalek::backend::serial::u64::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/backend/serial/u64/field.rs#L131,yes,yes
FieldElement::batch_invert,curve25519_dalek::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/field.rs#L529,yes,yes
FieldElement::ct_eq,curve25519_dalek::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/field.rs#L150,yes,yes
FieldElement::eq,curve25519_dalek::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/field.rs#L113,yes,yes
FieldElement::invert,curve25519_dalek::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/field.rs#L810,yes,yes
FieldElement::invsqrt,curve25519_dalek::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/field.rs#L1287,yes,yes
FieldElement::is_negative,curve25519_dalek::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/field.rs#L221,yes,yes
FieldElement::is_zero,curve25519_dalek::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/field.rs#L249,yes,yes
FieldElement::pow22501,curve25519_dalek::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/field.rs#L297,yes,yes
FieldElement::pow_p58,curve25519_dalek::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/field.rs#L851,yes,yes
FieldElement::sqrt_ratio_i,curve25519_dalek::field,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/field.rs#L924,yes,yes
LookupTable <AffineNielsPoint>::default,curve25519_dalek::window,https://github.com/avrevic/dalek-lite-fork/blob/main/curve25519-dalek/src/window.rs#L251,yes,yes
